Dates,Infected,Recovered,Deaths,Vaccinated
4/27/2020,45883.0,0.0,1983.0,0.0
4/28/2020,48102.0,0.0,2125.0,0.0
4/29/2020,50355.0,0.0,2215.0,0.0
4/30/2020,52918.0,0.0,2355.0,0.0
5/1/2020,56055.0,0.0,2457.0,0.0
5/2/2020,58505.0,0.0,2559.0,0.0
5/3/2020,61449.0,0.0,2618.0,0.0
5/4/2020,63840.0,0.0,2662.0,0.0
5/5/2020,65962.0,0.0,2838.0,0.0
5/6/2020,68232.0,0.0,2974.0,0.0
5/7/2020,70873.0,0.0,3111.0,0.0
5/8/2020,73760.0,0.0,3241.0,0.0
5/9/2020,76085.0,0.0,3349.0,0.0
5/10/2020,77741.0,0.0,3406.0,0.0
5/11/2020,79007.0,0.0,3459.0,0.0
5/12/2020,83021.0,0.0,3601.0,0.0
5/13/2020,84698.0,0.0,3792.0,0.0
5/14/2020,87937.0,0.0,3928.0,0.0
5/15/2020,90369.0,0.0,4058.0,0.0
5/16/2020,92457.0,0.0,4129.0,0.0
5/17/2020,94191.0,0.0,4177.0,0.0
5/18/2020,96485.0,0.0,4234.0,0.0
5/19/2020,98030.0,0.0,4379.0,0.0
5/20/2020,100418.0,0.0,4225.0,0.0
5/21/2020,102686.0,0.0,4607.0,0.0
5/22/2020,105444.0,0.0,4715.0,0.0
5/23/2020,107796.0,0.0,4790.0,0.0
5/24/2020,110304.0,0.0,4856.0,0.0
5/25/2020,112017.0,0.0,4884.0,0.0
5/26/2020,113195.0,0.0,4923.0,0.0
5/27/2020,114306.0,0.0,5083.0,0.0
5/28/2020,115833.0,0.0,5186.0,0.0
5/29/2020,117455.0,0.0,5270.0,0.0
5/30/2020,118917.0,0.0,5330.0,0.0
5/31/2020,120260.0,0.0,5390.0,0.0
6/1/2020,121234.0,0.0,5412.0,0.0
6/2/2020,122848.0,0.0,5525.0,0.0
6/3/2020,123830.0,0.0,5621.0,0.0
6/4/2020,124759.0,0.0,5736.0,0.0
6/5/2020,125915.0,0.0,5795.0,0.0
6/6/2020,126890.0,0.0,5864.0,0.0
6/7/2020,127757.0,0.0,5904.0,0.0
6/8/2020,129139.0,0.0,6102.0,0.0
6/9/2020,129936.0,0.0,6196.0,0.0
6/10/2020,130561.0,0.0,6273.0,0.0
6/11/2020,131327.0,0.0,6363.0,0.0
6/12/2020,132059.0,0.0,6441.0,0.0
6/13/2020,132732.0,0.0,6470.0,0.0
6/14/2020,133404.0,0.0,6489.0,0.0
6/15/2020,133877.0,0.0,6507.0,0.0
6/16/2020,134500.0,0.0,6579.0,0.0
6/17/2020,135046.0,0.0,6666.0,0.0
6/18/2020,135639.0,0.0,6718.0,0.0
6/19/2020,136470.0,0.0,6784.0,0.0
6/20/2020,137104.0,0.0,6829.0,0.0
6/21/2020,137762.0,0.0,6851.0,0.0
6/22/2020,138224.0,0.0,6875.0,0.0
6/23/2020,138825.0,0.0,6911.0,0.0
6/24/2020,139540.0,0.0,6974.0,0.0
6/25/2020,140434.0,0.0,7014.0,0.0
6/26/2020,141344.0,0.0,7048.0,0.0
6/27/2020,142130.0,0.0,7074.0,0.0
6/28/2020,142776.0,0.0,7089.0,0.0
6/29/2020,143514.0,0.0,7103.0,0.0
6/30/2020,144238.0,0.0,7124.0,0.0
7/1/2020,145066.0,0.0,7152.0,0.0
7/2/2020,145066.0,0.0,7152.0,0.0
7/3/2020,146872.0,0.0,7215.0,0.0
7/4/2020,147734.0,0.0,7224.0,0.0
7/5/2020,148373.0,0.0,7230.0,0.0
7/6/2020,148987.0,0.0,7236.0,0.0
7/7/2020,149574.0,0.0,7273.0,0.0
7/8/2020,150554.0,0.0,7309.0,0.0
7/9/2020,151572.0,0.0,7329.0,0.0
7/10/2020,152899.0,0.0,7345.0,0.0
7/11/2020,154094.0,0.0,7369.0,0.0
7/12/2020,155048.0,0.0,7388.0,0.0
7/13/2020,155931.0,0.0,7394.0,0.0
7/14/2020,156638.0,0.0,7419.0,0.0
7/15/2020,157825.0,0.0,7427.0,0.0
7/16/2020,159082.0,0.0,7452.0,0.0
7/17/2020,160509.0,0.0,7465.0,0.0
7/18/2020,161785.0,0.0,7483.0,0.0
7/19/2020,162750.0,0.0,7488.0,0.0
7/20/2020,163923.0,0.0,7494.0,0.0
7/21/2020,164878.0,0.0,7517.0,0.0
7/22/2020,166476.0,0.0,7540.0,0.0
7/23/2020,168100.0,0.0,7560.0,0.0
7/24/2020,169699.0,0.0,7577.0,0.0
7/25/2020,171125.0,0.0,7589.0,0.0
7/26/2020,172666.0,0.0,7590.0,0.0
7/27/2020,173897.0,0.0,7608.0,0.0
7/28/2020,174973.0,0.0,7638.0,0.0
7/29/2020,176366.0,0.0,7654.0,0.0
7/30/2020,178138.0,0.0,7670.0,0.0
7/31/2020,180118.0,0.0,7692.0,0.0
8/1/2020,181757.0,0.0,7700.0,0.0
8/2/2020,183224.0,0.0,7714.0,0.0
8/3/2020,184522.0,0.0,7723.0,0.0
8/4/2020,185993.0,0.0,7742.0,0.0
8/5/2020,187752.0,0.0,7770.0,0.0
8/6/2020,189705.0,0.0,7791.0,0.0
8/7/2020,191808.0,0.0,7822.0,0.0
8/8/2020,193998.0,0.0,7840.0,0.0
8/9/2020,195380.0,0.0,7845.0,0.0
8/10/2020,196699.0,0.0,7846.0,0.0
8/11/2020,198248.0,0.0,7866.0,0.0
8/12/2020,199893.0,0.0,7881.0,0.0
8/13/2020,201727.0,0.0,7905.0,0.0
8/14/2020,204023.0,0.0,7932.0,0.0
8/15/2020,205851.0,0.0,7937.0,0.0
8/16/2020,207413.0,0.0,7955.0,0.0
8/17/2020,209186.0,0.0,7967.0,0.0
8/18/2020,210926.0,0.0,7993.0,0.0
8/19/2020,213221.0,0.0,8017.0,0.0
8/20/2020,215053.0,0.0,8044.0,0.0
8/21/2020,217346.0,0.0,8066.0,0.0
8/22/2020,219702.0,0.0,8083.0,0.0
8/23/2020,221595.0,0.0,8089.0,0.0
8/24/2020,223207.0,0.0,8097.0,0.0
8/25/2020,224887.0,0.0,8126.0,0.0
8/26/2020,227044.0,0.0,8163.0,0.0
8/27/2020,228751.0,0.0,8186.0,0.0
8/28/2020,231185.0,0.0,8206.0,0.0
8/29/2020,233065.0,0.0,8217.0,0.0
8/30/2020,235057.0,0.0,8228.0,0.0
8/31/2020,236725.0,0.0,8235.0,0.0
9/1/2020,238217.0,0.0,8273.0,0.0
9/2/2020,240345.0,0.0,8300.0,0.0
9/3/2020,241705.0,0.0,8324.0,0.0
9/4/2020,247299.0,0.0,8362.0,0.0
9/5/2020,250105.0,0.0,8385.0,0.0
9/6/2020,251508.0,0.0,8390.0,0.0
9/7/2020,252889.0,0.0,8398.0,0.0
9/8/2020,254281.0,0.0,8405.0,0.0
9/9/2020,255618.0,0.0,8433.0,0.0
9/10/2020,257571.0,0.0,8461.0,0.0
9/11/2020,259883.0,0.0,8505.0,0.0
9/12/2020,262004.0,0.0,8527.0,0.0
9/13/2020,263466.0,0.0,8541.0,0.0
9/14/2020,264839.0,0.0,8546.0,0.0
9/15/2020,266305.0,0.0,8564.0,0.0
9/16/2020,268246.0,0.0,8599.0,0.0
9/17/2020,270302.0,0.0,8624.0,0.0
9/18/2020,272525.0,0.0,8647.0,0.0
9/19/2020,275054.0,0.0,8672.0,0.0
9/20/2020,276456.0,0.0,8686.0,0.0
9/21/2020,277933.0,0.0,8693.0,0.0
9/22/2020,279464.0,0.0,8722.0,0.0
9/23/2020,281312.0,0.0,8744.0,0.0
9/24/2020,283569.0,0.0,8774.0,0.0
9/25/2020,286374.0,0.0,8807.0,0.0
9/26/2020,288815.0,0.0,8832.0,0.0
9/27/2020,290419.0,0.0,8845.0,0.0
9/28/2020,292128.0,0.0,8858.0,0.0
9/29/2020,293490.0,0.0,8881.0,0.0
9/30/2020,295763.0,0.0,8916.0,0.0
10/1/2020,297929.0,0.0,8940.0,0.0
10/2/2020,300385.0,0.0,8992.0,0.0
10/3/2020,302827.0,0.0,9023.0,0.0
10/4/2020,304280.0,0.0,9040.0,0.0
10/5/2020,306133.0,0.0,9054.0,0.0
10/6/2020,307750.0,0.0,9085.0,0.0
10/7/2020,310380.0,0.0,9127.0,0.0
10/8/2020,313439.0,0.0,9159.0,0.0
10/9/2020,316556.0,0.0,9191.0,0.0
10/10/2020,319461.0,0.0,9221.0,0.0
10/11/2020,322188.0,0.0,9230.0,0.0
10/12/2020,324930.0,0.0,9243.0,0.0
10/13/2020,327781.0,0.0,9272.0,0.0
10/14/2020,330643.0,0.0,9320.0,0.0
10/15/2020,334658.0,0.0,9373.0,0.0
10/16/2020,339761.0,0.0,9425.0,0.0
10/17/2020,343390.0,0.0,9452.0,0.0
10/18/2020,347635.0,0.0,9474.0,0.0
10/19/2020,350748.0,0.0,9496.0,0.0
10/20/2020,354462.0,0.0,9537.0,0.0
10/21/2020,358804.0,0.0,9605.0,0.0
10/22/2020,363746.0,0.0,9647.0,0.0
10/23/2020,368746.0,0.0,9688.0,0.0
10/24/2020,374907.0,0.0,9751.0,0.0
10/25/2020,378969.0,0.0,9775.0,0.0
10/26/2020,383698.0,0.0,9792.0,0.0
10/27/2020,387698.0,0.0,9838.0,0.0
10/28/2020,393808.0,0.0,9889.0,0.0
10/29/2020,400171.0,0.0,9945.0,0.0
10/30/2020,408660.0,0.0,9994.0,0.0
10/31/2020,416559.0,0.0,10040.0,0.0
11/1/2020,423539.0,0.0,10075.0,0.0
11/2/2020,429761.0,0.0,10093.0,0.0
11/3/2020,436277.0,0.0,10161.0,0.0
11/4/2020,443815.0,0.0,10216.0,0.0
11/5/2020,453750.0,0.0,10313.0,0.0
11/6/2020,465540.0,0.0,10397.0,0.0
11/7/2020,477978.0,0.0,10488.0,0.0
11/8/2020,487987.0,0.0,10538.0,0.0
11/9/2020,498560.0,0.0,10563.0,0.0
11/10/2020,511183.0,0.0,10645.0,0.0
11/11/2020,523840.0,0.0,10798.0,0.0
11/12/2020,536542.0,0.0,10846.0,0.0
11/13/2020,551957.0,0.0,10891.0,0.0
11/14/2020,562985.0,0.0,11088.0,0.0
11/15/2020,573616.0,0.0,11162.0,0.0
11/16/2020,585248.0,0.0,11204.0,0.0
11/17/2020,597849.0,0.0,11317.0,0.0
11/18/2020,606771.0,0.0,11468.0,0.0
11/19/2020,621383.0,0.0,11648.0,0.0
11/20/2020,634395.0,0.0,11795.0,0.0
11/21/2020,646286.0,0.0,11952.0,0.0
11/22/2020,656298.0,0.0,12051.0,0.0
11/23/2020,664620.0,0.0,12112.0,0.0
11/24/2020,674089.0,0.0,12262.0,0.0
11/25/2020,685467.0,0.0,12440.0,0.0
11/26/2020,697489.0,0.0,12596.0,0.0
11/27/2020,705063.0,0.0,12686.0,0.0
11/28/2020,712936.0,0.0,12838.0,0.0
11/29/2020,720114.0,0.0,12882.0,0.0
11/30/2020,726304.0,0.0,12985.0,0.0
12/1/2020,738846.0,0.0,13131.0,0.0
12/2/2020,748603.0,0.0,13397.0,0.0
12/3/2020,759562.0,0.0,13625.0,0.0
12/4/2020,770088.0,0.0,13782.0,0.0
12/5/2020,779975.0,0.0,14017.0,0.0
12/6/2020,787573.0,0.0,14116.0,0.0
12/7/2020,796264.0,0.0,14216.0,0.0
12/8/2020,804174.0,0.0,14384.0,0.0
12/9/2020,812430.0,0.0,14613.0,0.0
12/10/2020,823531.0,0.0,14845.0,0.0
12/11/2020,832951.0,0.0,15067.0,0.0
12/12/2020,841688.0,0.0,15232.0,0.0
12/13/2020,848904.0,0.0,15339.0,0.0
12/14/2020,856118.0,0.0,15455.0,0.0
12/15/2020,863477.0,0.0,15587.0,0.0
12/16/2020,870600.0,0.0,15777.0,0.0
12/17/2020,879428.0,0.0,15985.0,0.0
12/18/2020,886805.0,0.0,16206.0,0.0
12/19/2020,894367.0,0.0,16326.0,0.0
12/20/2020,900370.0,0.0,16407.0,0.0
12/21/2020,905069.0,0.0,16527.0,0.0
12/22/2020,911308.0,0.0,16671.0,0.0
12/23/2020,918070.0,0.0,16842.0,0.0
12/24/2020,925107.0,0.0,16960.0,0.0
12/25/2020,930849.0,0.0,17154.0,0.0
12/26/2020,934142.0,0.0,17224.0,0.0
12/27/2020,937909.0,0.0,17336.0,0.0
12/28/2020,942362.0,0.0,17470.0,0.0
12/29/2020,948006.0,0.0,17596.0,0.0
12/30/2020,955380.0,0.0,17811.0,0.0
12/31/2020,963389.0,0.0,17978.0,0.0
1/1/2021,963389.0,0.0,18173.0,0.0
1/2/2021,975352.0,0.0,18217.0,0.0
1/3/2021,979821.0,0.0,18322.0,0.0
1/4/2021,984880.0,0.0,18412.0,0.0
1/5/2021,991719.0,0.0,18562.0,0.0
1/6/2021,999288.0,0.0,18735.0,0.0
1/7/2021,1008045.0,0.0,18941.0,0.0
1/8/2021,1017322.0,0.0,19108.0,0.0
1/9/2021,1024039.0,0.0,19210.0,0.0
1/10/2021,1028750.0,0.0,19293.0,0.0
1/11/2021,1033526.0,0.0,19363.0,0.0
1/12/2021,1040168.0,0.0,19497.0,62757.0
1/13/2021,1046030.0,0.0,19617.0,74186.0
1/14/2021,1052682.0,0.0,19724.0,74186.0
1/15/2021,1059324.0,0.0,19873.0,91248.0
1/16/2021,1064667.0,0.0,20020.0,91248.0
1/17/2021,1068829.0,0.0,20050.0,91248.0
1/18/2021,1072214.0,0.0,20118.0,91248.0
1/19/2021,1076532.0,0.0,20153.0,104533.0
1/20/2021,1081354.0,0.0,20285.0,107651.0
1/21/2021,1086333.0,0.0,20423.0,111933.0
1/22/2021,1093375.0,0.0,20534.0,120754.0
1/23/2021,1098527.0,0.0,20645.0,128907.0
1/24/2021,1101819.0,0.0,20680.0,135330.0
1/25/2021,1104763.0,0.0,20744.0,137465.0
1/26/2021,1108430.0,0.0,20853.0,140394.0
1/27/2021,1112181.0,0.0,20949.0,147925.0
1/28/2021,1116372.0,0.0,21074.0,162086.0
1/29/2021,1120528.0,0.0,21146.0,181063.0
1/30/2021,1123873.0,0.0,21213.0,197643.0
1/31/2021,1126301.0,0.0,21253.0,211528.0
2/1/2021,1128613.0,0.0,21273.0,219095.0
2/2/2021,1130917.0,0.0,21336.0,223026.0
2/3/2021,1134231.0,0.0,21420.0,230850.0
2/4/2021,1137559.0,0.0,21497.0,247763.0
2/5/2021,1141219.0,0.0,21603.0,260248.0
2/6/2021,1144281.0,0.0,21676.0,275276.0
2/7/2021,1146341.0,0.0,21738.0,288458.0
2/8/2021,1148088.0,0.0,21779.0,299201.0
2/9/2021,1150170.0,0.0,21802.0,302923.0
2/10/2021,1152995.0,0.0,21869.0,314687.0
2/11/2021,1155833.0,0.0,21985.0,330108.0
2/12/2021,1158431.0,0.0,22027.0,348826.0
2/13/2021,1160523.0,0.0,22087.0,375992.0
2/14/2021,1162154.0,0.0,22121.0,400340.0
2/15/2021,1163574.0,0.0,22166.0,400340.0
2/16/2021,1164922.0,0.0,22199.0,422981.0
2/17/2021,1166717.0,0.0,22224.0,431310.0
2/18/2021,1168683.0,0.0,22297.0,446598.0
2/19/2021,1170902.0,0.0,22368.0,492551.0
2/20/2021,1172824.0,0.0,22426.0,527382.0
2/21/2021,1174409.0,0.0,22466.0,560403.0
2/22/2021,1175655.0,0.0,22506.0,578393.0
2/23/2021,1177320.0,0.0,22528.0,602595.0
2/24/2021,1179342.0,0.0,22575.0,623117.0
2/25/2021,1181226.0,0.0,22607.0,652316.0
2/26/2021,1183667.0,0.0,22675.0,703902.0
2/27/2021,1185447.0,0.0,22710.0,757754.0
2/28/2021,1186696.0,0.0,22735.0,806078.0
3/1/2021,1187839.0,0.0,22759.0,847352.0
3/2/2021,1189416.0,0.0,22803.0,867812.0
3/3/2021,1191520.0,0.0,22853.0,897827.0
3/4/2021,1193260.0,0.0,22902.0,939034.0
3/5/2021,1194702.0,0.0,22946.0,984808.0
3/6/2021,1197267.0,0.0,23002.0,1050701.0
3/7/2021,1198335.0,0.0,23014.0,1109123.0
3/8/2021,1199517.0,0.0,23020.0,1153941.0
3/9/2021,1201027.0,0.0,23039.0,1166993.0
3/10/2021,1202709.0,0.0,23067.0,1200821.0
3/11/2021,1204409.0,0.0,23122.0,1245707.0
3/12/2021,1206172.0,0.0,23163.0,1329918.0
3/13/2021,1207847.0,0.0,23188.0,1461858.0
3/14/2021,1209331.0,0.0,23206.0,1462024.0
3/15/2021,1210113.0,0.0,23216.0,1508375.0
3/16/2021,1212110.0,0.0,23235.0,1551538.0
3/17/2021,1213765.0,0.0,23255.0,1592976.0
3/18/2021,1216090.0,0.0,23287.0,1637747.0
3/19/2021,1218470.0,0.0,23304.0,1678369.0
3/20/2021,1220432.0,0.0,23329.0,1723407.0
3/21/2021,1221863.0,0.0,23357.0,1768206.0
3/22/2021,1223083.0,0.0,23379.0,1797959.0
3/23/2021,1224915.0,0.0,23391.0,1814376.0
3/24/2021,1227708.0,0.0,23408.0,1840517.0
3/25/2021,1229898.0,0.0,23442.0,1872114.0
3/26/2021,1232900.0,0.0,23472.0,1905926.0
3/27/2021,1235578.0,0.0,23498.0,1945476.0
3/28/2021,1237828.0,0.0,23521.0,1996988.0
3/29/2021,1239589.0,0.0,23527.0,2042458.0
3/30/2021,1241993.0,0.0,23542.0,2060967.0
3/31/2021,1244585.0,0.0,23579.0,2089452.0
4/1/2021,1248111.0,0.0,23601.0,2140575.0
4/2/2021,1251346.0,0.0,23626.0,2184228.0
4/3/2021,1254185.0,0.0,23635.0,2243105.0
4/4/2021,1256634.0,0.0,23654.0,2301352.0
4/5/2021,1258736.0,0.0,23665.0,2346220.0
4/6/2021,1261667.0,0.0,23673.0,2357970.0
4/7/2021,1265457.0,0.0,23702.0,2400675.0
4/8/2021,1269196.0,0.0,23740.0,2469095.0
4/9/2021,1273200.0,0.0,23762.0,2544950.0
4/10/2021,1276830.0,0.0,23777.0,2638915.0
4/11/2021,1279772.0,0.0,23793.0,2747814.0
4/12/2021,1282205.0,0.0,23809.0,2821990.0
4/13/2021,1285398.0,0.0,23826.0,2858827.0
4/14/2021,1288934.0,0.0,23865.0,2875073.0
4/15/2021,1292515.0,0.0,23896.0,2948062.0
4/16/2021,1296381.0,0.0,23920.0,3012658.0
4/17/2021,1299575.0,0.0,23945.0,3097689.0
4/18/2021,1302241.0,0.0,23955.0,3183082.0
4/19/2021,1304200.0,0.0,23976.0,3241860.0
4/20/2021,1306787.0,0.0,23989.0,3275474.0
4/21/2021,1309552.0,0.0,24018.0,3324660.0
4/22/2021,1312722.0,0.0,24056.0,3403952.0
4/23/2021,1316091.0,0.0,24083.0,3475056.0
4/24/2021,1318998.0,0.0,24114.0,3548134.0
4/25/2021,1321033.0,0.0,24139.0,3619026.0
4/26/2021,1323170.0,0.0,24150.0,3665234.0
4/27/2021,1325726.0,0.0,24174.0,3685636.0
4/28/2021,1328454.0,0.0,24211.0,3728480.0
4/29/2021,1331848.0,0.0,24252.0,3790076.0
4/30/2021,1335055.0,0.0,24291.0,3855677.0
5/1/2021,1337868.0,0.0,24330.0,3908928.0
5/2/2021,1339728.0,0.0,24358.0,3962710.0
5/3/2021,1341777.0,0.0,24389.0,3988677.0
5/4/2021,1343988.0,0.0,24410.0,3998074.0
5/5/2021,1346398.0,0.0,24443.0,4025554.0
5/6/2021,1348176.0,0.0,24483.0,4097876.0
5/7/2021,1351497.0,0.0,24524.0,4166511.0
5/8/2021,1353226.0,0.0,24546.0,4214851.0
5/9/2021,1354967.0,0.0,24577.0,4287939.0
5/10/2021,1356391.0,0.0,24590.0,4338243.0
5/11/2021,1357953.0,0.0,24617.0,4382645.0
5/12/2021,1359748.0,0.0,24640.0,4420751.0
5/13/2021,1361666.0,0.0,24671.0,4472084.0
5/14/2021,1363507.0,0.0,24725.0,4516845.0
5/15/2021,1365020.0,0.0,24770.0,4563993.0
5/16/2021,1366268.0,0.0,24795.0,4627003.0
5/17/2021,1367214.0,0.0,24801.0,4661795.0
5/18/2021,1368709.0,0.0,24830.0,4676621.0
5/19/2021,1370342.0,0.0,24864.0,4702349.0
5/20/2021,1371884.0,0.0,24913.0,4750034.0
5/21/2021,1373457.0,0.0,24935.0,4793235.0
5/22/2021,1374565.0,0.0,24976.0,4847686.0
5/23/2021,1375508.0,0.0,25001.0,4886096.0
5/24/2021,1376441.0,0.0,25011.0,4912590.0
5/25/2021,1377249.0,0.0,25029.0,4926691.0
